,0
"['driver', 'h', 'regular', 'semitruck', 'time']",8548
"['driver', 'hou', 'semitruck', 'shift', 'time']",5334
"['driver', 'h', 'premium', 'semitruck', 'time']",8548
"['cement', 'hour', 'mason', 'o', 'regular', 'time']",1549
"['cement', 'hour', 'mason', 'shift', 'time']",1549
"['cement', 'hour', 'mason', 'o', 'premium', 'time']",1549
"['hour', 'regular', 'superintendent', 'time']",3832
"['hour', 'o', 'shift', 'superintendent', 'time']",1549
"['hour', 'premium', 'superintendent', 'time']",5540
"['foreman', 'hour', 'pickup', 'truck']",2086
"['hou', 'pickup', 'superintendent', 'truck']",2634
"['2ton', 'boxes', 'crew', 'flatbed', 'lumber', 'rack', 'tool', 'truck']",5877
"['5ton', 'boxes', 'crew', 'flatbed', 'lumber', 'rack', 'tool', 'truck']",5877
"['2ton', 'equipment', 'mechanic', 'truck', 'welding']",3181
"['1500', '2500gallon', 'truck', 'water']",582
"['4000gallon', '6x6', 'pr', 'truck', 'water']",7400
"['concrete', 'pump', 'saw', 'tank', 'truck', 'water']",3365
"['2', '2', 'axle', 'cubic', 'dump', 'truck', 'yard']",3561
"['2', '4', '5', 'axle', 'cubic', 'dump', 'truck', 'yard']",2545
"['12', '3', 'axle', 'cubic', 'dump', 'truck', 'yard']",1956
"['14', 'dump', 'more', 'semitrailer', 'tractor', 'truck']",2934
"['asphalt', 'attachment', 'box', 'd', 'dump', 'spreader', 'truck']",2934
"['3', '400', 'axle', 'fifth', 'hitch', 'hp', 'tractor', 'truck', 'wheel']",5617
"['30ton', 'fifth', 'flatbed', 'lowboy', 'semi', 'truck', 'wheel']",2997
"['6ton', 'flatbed', 'ho', 'ramps', 'truck']",7068
"['backhoe', 'equipment', 'large', 'trailer']",2487
"['chemical', 'fo', 'sink', 'tank', 'toilet', 'trailer', 'water']",3754
"['emulsion', 'p', 'paving', 'tank', 'trailer', 'unit']",3754
"['20', 'backhoe', 'depth', 'foot', 'hour']",2534
"['attachment', 'backhoe', 'boom', 'h', 'offset']",726
"['attachment', 'backhoe', 'forks', 'hour']",8464
"['attachment', 'backhoe', 'compactor', 'hou']",7670
"['attachment', 'backhoe', 'breaker', 'hour']",4765
"['attachment', 'backhoe', 'driver', 'p', 'sheeting']",127
"['6inch', 'attachment', 'auger', 'backhoe']",5916
"['12inch', 'attachment', 'auger', 'backhoe']",5916
"['18inch', 'attachment', 'auger', 'backhoe']",5916
"['24inch', 'attachment', 'auger', 'backhoe']",5916
"['30inch', 'attachment', 'auger', 'backhoe']",5916
"['2', 'buckets', 'excavator', 'standard', 'standard', 't', 'tracked']",67
"['2', '5', 'buckets', 'excavator', 'rubber', 'standard', 'tires']",2333
"['7500', 'attachment', 'breaker', 'excavator', 'pounds']",2580
"['attachment', 'driver', 'excavator', 'pe', 'plate']",4638
"['2', '5', 'attachment', 'bucket', 'excavator', 'fee', 'screening']",461
"['6000', 'attachment', 'bucket', 'excavator', 'multiripper', 'p']",787
"['30000', 'attachment', 'bucket', 'excavator', 'multiripper']",787
"['85000', 'attachment', 'bucket', 'excavator', 'multiripper']",787
"['hour', 'rock', 'trencher', 'wheel']",3764
"['e', 'rock', 'teeth', 'trencher', 'unit', 'wheel']",398
"['t800b0', 'trackmounted', 'trencher', 'vermeer']",574
"['mounted', 'teeth', 'track', 'trencher', 'unit']",1916
"['143h', 'allwheel', 'cat', 'drive', 'grader', 'motor']",2509
"['br380jg1', 'crusher', 'komatsu', 'mobile', 'rock']",1461
"['212', 'cubic', 'loader', 'rubber', 'tire', 'yard']",5207
"['312', 'cubic', 'loader', 'rubber', 'tire', 'yard']",5207
"['4', 'cat', 'cubic', 'loader', 'rubber', 'tire', 'yard']",5207
"['eagle', 'elgin', 'model', 'road', 'sweeper']",2929
"['3', 'concrete', 'hour', 'hp', 'vibrator']",1764
"['13000', 'compactor', 'imp', 'plate', 'pound', 'soil', 'vibratory']",1102
"['3000', 'behind', 'compactor', 'impact', 'pound', 's', 'soil', 'walk']",448
"['5ton', 'crane', 'hour', 'mount', 'truck']",8246
"['40ton', 'crane', 'hour']",1549
"['90ton', 'crane', 'hour']",1549
"['140ton', 'crane', 'hour']",1549
"['3', '6', 'generator', 'hour', 'kw']",4285
"['20', 'generator', 'hour', 'kw']",2580
"['105', '150', 'air', 'cf', 'compressor', 'tools']",151
"['155', '200', 'air', 'cf', 'compressor', 'tools']",6446
"['contained', 'flood', 'lighting', 'night', 'self', 'tower']",4027
"['12', 'concrete', 'hour', 'mixer', 'sack']",8516
"['10', '8', 'by', 'container', 'feet', 'feet', 'fo', 'long', 'storage', 'wide']",5769
"['20', '8', 'by', 'container', 'feet', 'feet', 'fo', 'long', 'storage', 'wide']",1214
"['2', '4inch', 'hour', 'pump', 'water']",731
"['hour', 'mud', 'pump']",5041
"['hydrahammer', 'model', 'pric', 'stomper']",1417
"['1000c', 'cold', 'model', 'planer', 'wirtgen']",4596
"['cold', 'planer', 'teeth']",4596
"['30inch', '3ton', 'drum', 'one', 'roller', 'single', 'width']",1530
"['3ton', '40inch', '5ton', 'double', 'drum', 'roller', 'width']",5414
"['60inch', '8ton', 'double', 'drum', 'ride', 'roller', 'width']",5414
"['10inch', '65', 'concrete', 'cut', 'depth', 'hp', 'one', 'saw', 'w']",7464
"['10', '24inch', '65', 'concrete', 'cut', 'depth', 'hp', 'saw', 'wa']",6809
"['9', 'concrete', 'coring', 'diam', 'equipment', 'inches', 'one']",172
"['10', '14', 'concrete', 'coring', 'diam', 'equipment', 'inches']",172
"['cutting', 'oxygenacetylene', 'p', 'tanks', 'torch', 'unit']",2113
"['10', '5', 'by', 'da', 'foot', 'foot', 'plate', 'steel']",3497
"['10', '6', 'by', 'da', 'foot', 'foot', 'plate', 'steel']",3497
"['10', '8', 'by', 'da', 'foot', 'foot', 'plate', 'steel']",3064
"['12', '8', 'by', 'da', 'foot', 'foot', 'plate', 'steel']",4251
"['15', '8', 'by', 'da', 'foot', 'foot', 'plate', 'steel']",1663
"['7', '9', 'box', 'by', 'by', 'feet', 'feet', 'install', 'shoring', 'trench']",6395
"['11', '7', 'box', 'by', 'by', 'feet', 'feet', 'install', 'shoring', 'trench']",2849
"['1', '6', '7', 'box', 'by', 'feet', 'inches', 'install', 'shoring', 'trench']",717
"['1', '6', '9', 'box', 'by', 'feet', 'inches', 'install', 'shoring', 'trench']",717
"['aluminum', 'hydraulic', 'shoring', 'trench', 'width']",2505
"['beam', 'plate', 'rail', 'shoring', 'slide', 'system']",6690
"['barricade', 'flashers', 'hour']",8464
"['10', '6', 'chain', 'fencing', 'foot', 'foot', 'link', 'panel', 'safety']",3647
"['arrow', 'board', 'contained', 'control', 'self', 'traffic']",1749
"['board', 'contained', 'message', 'self', 'traffic']",1749
"['day', 'pay', 'subsistence', 'town', 'work']",1583
"['control', 'ladwp', 'plans', 'prepare', 'submit', 'traffic']",1749
"['40', 'control', 'large', 'project', 'service', 'traffic']",905
"['by', 'equip', 'outside', 'oversized', 'party', 'transportation']",2700
"['ac', 'bore', 'boring', 'directional', 'jack', 'service']",2655
"['disposing', 'excavated', 'excess', 'material']",3543
"['agreed', 'cost', 'j', 'lumber', 'purchase', 'specific', 'upon']",1053
"['projects', 'signage', 'special', 'specific']",2793
"['c', 'caltrans', 'fees', 'general', 'railroad', 'utility']",5155
"['accor', 'bridges', 'conduit', 'installation', 'power']",7449
"['acquisitionleasing', 'ar', 'fees', 'general', 'staging']",226
"['10', 'duct', 'mount', 'mount', 'power', 'rod', 'trailer', 'truck']",6893
"['bed', 'commercial', 'flat', 'hauling', 'non', 'pip', 'pvc', 'trailer']",8439
"['compliance', 'perform', 'scheduled', 'trees', 'trimming', 'wit']",4416
"['andor', 'compliance', 'maintenance', 'perform', 'ser', 'trimming']",8362
"['midcycle', 'pa', 'patrol', 'person', 'pretrim', 'vegetation']",580
"['andor', 'compliance', 'general', 'maintena', 'supervisor']",280
"['accessible', 'aerial', 'crew', 'nonaccessible', 'twoperson']",546
"['accessible', 'aerial', 'cr', 'nonaccessible', 'threeperson']",1100
"['7', 'feet', 'height', 'palm', 'remove', 'species', 'tree']",8252
"['andor', 'king', 'mill', 'palm', 'queen', 'remove', 's', 'tree', 'wind']",874
"['andor', 'filibusta', 'palm', 'remove', 'robusta', 'simil', 'tree']",2070
"['andor', 'filifera', 'palm', 'phoenix', 'remove', 'tree']",2793
"['removalgrinding', 'services', 'stump']",2612
"['accessible', 'nonaccessible', 'treevegetation', 'trim']",1812
"['7', 'b', 'feet', 'height', 'remove', 'treevegetation']",1256
"['100', 'andor', 'exceed', 'f', 'may', 'palm', 'reach', 'tree', 'trim']",7169
"['100', 'andor', 'exceed', 'may', 'palm', 'reach', 't', 'tree', 'trim']",7169
"['1', 'section', 'trees', 'trim', 'within']",102
"['2', 'section', 'trees', 'trim', 'within']",102
"['3', 'section', 'trees', 'trim', 'within']",102
"['4', 'section', 'trees', 'trim', 'within']",102
"['5', 'section', 'trees', 'trim', 'within']",102
"['6', 'section', 'trees', 'trim', 'within']",102
"['7', 'section', 'trees', 'trim', 'within']",102
"['8', 'section', 'trees', 'trim', 'within']",102
"['9', 'section', 'trees', 'trim', 'within']",102
"['10', 'section', 'trees', 'trim', 'within']",102
"['11', 'sections', 'trees', 'trim', 'within']",102
"['12', 'section', 'trees', 'trim', 'within']",102
"['13', 'section', 'trees', 'trim', 'within']",102
"['14', 'section', 'trees', 'trim', 'within']",102
"['15', 'section', 'trees', 'trim', 'within']",102
"['16', 'section', 'trees', 'trim', 'within']",102
"['17', 'section', 'trees', 'trim', 'within']",6619
"['18', 'section', 'trees', 'trim', 'within']",102
"['approved', 'fees', 'permit', 't', 'work']",7122
"['control', 'fees', 'general', 'traffic', 'wit']",1209
"['approved', 'dumping', 'fees', 'landfill', 'vegetati']",2710
"['approved', 'dumping', 'fees', 'landfill', 'nonvegeta']",3498
"['equipment', 'included', 'operator', 'time', 'travel']",776
"['accessible', 'nonaccessible', 't', 'treevegetation', 'trim']",2587
"['200', 'section', 'trees', 'trim', 'within']",102
"['145', 'section', 'trees', 'trim', 'within']",2686
"['146', 'section', 'trees', 'trim', 'within']",2686
"['147', 'section', 'trees', 'trim', 'within']",2686
"['148', 'section', 'trees', 'trim', 'within']",2686
"['149', 'section', 'trees', 'trim', 'within']",2686
"['150', 'section', 'trees', 'trim', 'within']",102
"['154', 'section', 'trees', 'trim', 'within']",2686
"['155', 'section', 'trees', 'trim', 'within']",2686
"['156', 'section', 'trees', 'trim', 'within']",2686
"['157', 'section', 'trees', 'trim', 'within']",2686
"['c', 'equipment', 'included', 'operator', 'time', 'travel']",5553
"['aluminum', 'cylinder', 'hydraulic', 'rang', 'shoring', 'size']",5167
"['aluminum', 'clearance', 'cyl', 'high', 'hydraulic', 'shoring']",2505
"['2panel', '4', 'fe', 'set', 'shields', 'stackable', 'steel', 'trench']",5419
"['2panel', '6', 'fe', 'set', 'shields', 'stackable', 'steel', 'trench']",5419
"['2panel', '8', 'fe', 'set', 'shields', 'stackable', 'steel', 'trench']",5419
"['10', '2panel', 'f', 'set', 'shields', 'stackable', 'steel', 'trench']",7102
"['crosssection', 'ranging', 'round', 'spreaders', 'square']",2109
"['boxes', 'h', 'holes', 'maintenance', 'square', 'stackable']",6580
"['aluminum', 'box', 'build', 'modular', 'shield', 'trench']",4173
"['2panel', 'aluminum', 'light', 'set', 'shields', 'trench', 'weight']",774
"['2pane', 'aluminum', 'box', 'hydraulic', 'light', 'trench', 'weight']",7262
"['aluminum', 'clearance', 'high', 'llc', 'pacific', 'pan', 'shoring']",2505
"['aluminum', 'aps', 'llc', 'pacific', 'panel', 'shields', 'shoring']",1064
"['2', 'braces', 'end', 'lengths', 'rail', 'ranging', 'shoresend']",29
"['5gallon', 'd', 'hydraulic', 'pump', 'rental']",1642
"['15gallon', 'battery', 'operated', 'power', 'pump', 'ren']",1198
"['8inch', 'beams', 'h', 'height', 'hpshape', 'w8', 'wshape']",4134
"['10inch', 'beams', 'height', 'hpshape', 'w10', 'wshape']",6030
"['12inch', 'beams', 'height', 'hpshape', 'w12', 'wshape']",464
"['14inch', 'beams', 'height', 'hpshape', 'w14', 'wshape']",1469
"['3', 'feet', 'length', 'plain', 'plate', 'shoring', 'steel', 'width']",496
"['4', 'feet', 'length', 'plain', 'plate', 'shoring', 'steel', 'width']",496
"['5', 'feet', 'length', 'plain', 'plate', 'shoring', 'steel', 'width']",496
"['6', 'feet', 'lengt', 'plate', 'shoring', 'shoring', 'steel', 'width']",2409
"['6', 'feet', 'length', 'plain', 'plate', 'shoring', 'steel', 'width']",496
"['8', 'feet', 'length', 'plain', 'plate', 'shoring', 'steel', 'width']",496
"['10', 'barrier', 'concrete', 'feet', 'krail', 'length', 're']",7297
"['20', 'barrier', 'concrete', 'feet', 'krail', 'length', 're']",7297
"['6', 'feet', 'fence', 'height', 'modular', 'panel', 'ranging', 'width']",2148
"['barricade', 'caltransapproved', 'i', 'rental', 'type']",4060
"['barricade', 'caltransapproved', 'ii', 'renta', 'type']",3934
"['barricade', 'caltransapproved', 'iii', 'rent', 'type']",3934
"['42', 'base', 'delineator', 'height', 'inch', 'post', 'tube']",6855
"['28', 'caltra', 'cones', 'height', 'inches', 'safety', 'traffic']",2042
"['nonspring', 'si', 'sign', 'spring', 'stand', 'traffic', 'type']",5218
"['control', 'engineer', 'grad', 'i', 'rigid', 'signs', 'traffic', 'type']",4842
"['control', 'high', 'iii', 'intens', 'rigid', 'signs', 'traffic', 'type']",4842
"['control', 'diamond', 'grad', 'rigid', 'signs', 'traffic', 'type', 'xi']",4842
"['control', 'marathon', 'r', 'rolled', 'signs', 'traffic', 'vinyl']",1322
"['arrow', 'board', 'day', 'flashing', 'o', 'rental']",211
"['day', 'message', 'mobile', 'rental', 'sign']",211
"['gasoline', 'light', 'powered', 'ren', 'towable', 'towers']",1766
"['3inch', 'centribugal', 'disch', 'pumps', 'suction', 'trash']",723
"['2', '3inch', 'diameter', 'flexible', 'hose', 'length', 'suction']",3473
"['3inch', 'diameter', 'discharge', 'flexible', 'hose', 'length']",6610
"['4l', 'duty', 'harness', 'heavyduty', 'lifting', 'standard']",3347
"['bar', 'length', 'lifting', 'plywood', 'range', 'shore', 'spreader']",1347
"['bridging', 'caltrans', 'nonskid', 'plates', 'steel', 'surface']",933
"['bridgingnonskid', 'caltrans', 'plates', 'steel', 'surface']",933
"['nonskid', 'pedestr', 'plates', 'surface', 'temporary', 'trench']",2252
"['8', 'corrugated', 'feet', 'plates', 'ribbed', 'size', 'steel', 'x']",3464
"['4feetx8', 'board', 'fin', 'purchase']",1077
"['4feetx10', 'board', 'fin', 'purchase']",1077
"['48', 'inch', 'purchase', 'release', 'tool']",4193
"['96', 'inch', 'purchase', 'release', 'tool']",4193
"['duty', 'heavy', 'lifting', 'plate', 'pri', 'purchase', 'ring']",1227
"['lifting', 'plate', 'purchase', 'ring', 'standard']",1227
"['pin', 'purchase', 'screw', 'shackle']",2829
"['charges', 'delivery', 'metro', 'region', 'standard', 'within']",1095
"['charges', 'delivery', 'metro', 'premium', 'region', 'within']",2110
"['delivery', 'metro', 'region', 'saturday', 'within']",3280
"['charges', 'metro', 'pickup', 'pr', 'region', 'within']",5223
"['charges', 'fo', 'metro', 'night', 'pickup', 'region', 'within']",1095
"['associated', 'delivery', 'pickup', 'standby', 'time']",2076
"['charges', 'delivery', 'regio', 'standard', 'valley', 'within']",11
"['charges', 'delivery', 'premium', 'region', 'valley', 'within']",11
"['delivery', 'region', 'saturday', 'valley', 'within']",2450
"['charges', 'p', 'pickup', 'region', 'valley', 'within']",5223
"['charges', 'f', 'night', 'pickup', 'region', 'valley', 'within']",5223
"['charges', 'delivery', 'delivery', 'em', 'emergency']",602
"['assembly', 'charges', 'hour']",962
"['bead', 'beam', 'cleaning', 'plate', 'shoring', 'steel', 'welded']",3830
"['but', 'equipment', 'including', 'limited', 'not', 'pa', 'repair']",1564
"['charges', 'i', 'miscellaneous', 'rentals', 'specified']",1012
"['charges', 'miscellaneous', 'rentals', 'specified']",3477
"['cubic', 'dwp25001.0', 'yard']",8242
"['cubic', 'dwp25001.0p', 'yard']",2907
"['cubic', 'dwp25001.5', 'yard']",4607
"['cubic', 'dwp25000.4mgf', 'yard']",6777
"['cubic', 'dwp25000.4mgc', 'yard']",2907
"['cubic', 'dwp30001.0', 'yard']",1685
"['cubic', 'dwp30001.0p', 'yard']",2907
"['cubic', 'dwp30001.0pr', 'yard']",2907
"['cubic', 'dwp30001.5', 'yard']",2907
"['cubic', 'dwp30001.5r', 'yard']",2907
"['cubic', 'dwp40000.4p', 'yard']",2907
"['cubic', 'dwp40001.0', 'yard']",2907
"['cubic', 'dwp40001.0p', 'yard']",2907
"['cubic', 'dwp40001.5', 'yard']",2907
"['cubic', 'dwp45001.0', 'yard']",2907
"['cubic', 'dwp50001.0', 'yard']",8242
"['cubic', 'dwp50001.0p', 'yard']",2907
"['cubic', 'dwp60001.0', 'yard']",876
"['cubic', 'dwp60001.0p', 'yard']",5540
"['330c1700', 'cubic', 'yard']",5540
"['420d1700', 'cubic', 'yard']",1417
"['520a2500', 'cubic', 'yard']",5532
"['520c2500', 'cubic', 'yard']",1417
"['560c3250', 'cubic', 'yard']",4607
"['100e100', 'cubic', 'yard']",2933
"['cubic', 'dwptbsclsm50', 'yard']",2907
"['cubic', 'dwptbsclsm100', 'yard']",2907
"['cubic', 'dwptbsclsmct', 'yard']",436
"['cubic', 'dwptbs34', 'yard']",3047
"['article', 'concrete', 'mixes', 'special', 'specified', 'tit']",1764
"['cubic', 'dwp', 'tbsclsm50', 'yard']",6641
"['additional', 'charge', 'concrete', 'cubic', 'deli', 'yard']",3238
"['additional', 'amount', 'minimum', 'more']",5416
"['ce', 'deduction', 'portland', 'substitution']",7117
"['494', 'admixture', 'astm', 'c', 'de', 'type', 'waterreducing']",5130
"['494', 'ad', 'astm', 'c', 'd', 'retarding', 'type', 'waterreducing']",5130
"['494', 'accelerating', 'astm', 'c', 'e', 'type', 'waterreducing']",5130
"['494', 'admix', 'astm', 'c', 'f', 'high', 'range', 'type', 'waterreducing']",5900
"['494', 'astm', 'c', 'g', 'high', 'r', 'range', 'reducing', 'type', 'water']",7433
"['494', 'adding', 'additional', 'astm', 'b', 'c', 'ret', 'type']",5979
"['494', 'acc', 'adding', 'additional', 'astm', 'c', 'c', 'type']",5979
"['260', 'adding', 'additional', 'airentrain', 'astm', 'c']",600
"['1116', 'adding', 'additional', 'astm', 'c', 'polypropyl']",8537
"['979', 'adding', 'additional', 'astm', 'c', 'co', 'integral']",8537
"['additional', 'color', 'mixer', 'truck', 'wash']",5160
"['8.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['8.50', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['8.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",7862
"['8.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",3747
"['7.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['7.50', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",3747
"['7.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['7.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['6.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['6.50', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",3747
"['6.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",4607
"['6.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",3747
"['5.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",2907
"['5.50', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",4607
"['5.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['5.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",3747
"['4.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['4.50', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['4.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",5532
"['4.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['3.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['3.50', 'cubic', 'truck', 'yardsper']",5532
"['3.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",7862
"['3.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",3747
"['2.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",5225
"['2.50', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",5225
"['2.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",2933
"['2.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",602
"['1.75', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",2133
"['1.50', 'cubic', 'truck', 'yardsper']",5119
"['1.25', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",7862
"['1.00', 'cartage', 'charge', 'cubic', 'less', 'yardsper']",3747
"['1', '30', 'charge', 'cubic', 'items', 'y']",2084
"['31', '60i', 'charge', 'cubic', 'items']",4983
"['61', '90', 'charge', 'cubi', 'ii', 'items']",7079
"['120', '91', 'charge', 'cubi', 'items', 'v']",842
"['121', '150', 'charge', 'cubi', 'items']",5296
"['151', '181', 'charge', 'cub', 'i', 'items']",1207
"['demurrage', 'excess', 'forth', 'free', 'set', 'time']",1632
"['additional', 'charges', 'concrete', 'delivery', 'si']",3414
"['601', '900', 'opening', 'p.m.', 'plant', 'weekdays']",1006
"['601', '900', 'c', 'p.m.', 'p.m.', 'truck', 'weekdays']",3916
"['601', 'additional', 'charge', 'p.m.', 'weekdays']",3378
"['400', '901', 'opening', 'p.m.', 'plant', 'weekdays']",1006
"['400', '901', 'a.m.', 'c', 'p.m.', 'truck', 'weekdays']",2774
"['901', 'additional', 'charge', 'p.m.', 'weekdays']",7869
"['401', '600', 'a.m.', 'opening', 'plant', 'weekdays']",1006
"['401', '600', 'a.m.', 'a.m.', 'c', 'truck', 'weekdays']",3916
"['401', 'a.m.', 'additional', 'charge', 'weekdays']",5225
"['1201', '6', 'a.m.', 'opening', 'plant', 'saturdays']",4348
"['1201', '600', 'a.m.', 'a.m.', 'saturdays', 'truck']",1283
"['1201', 'a.m.', 'additional', 'charge', 'saturdays']",2358
"['12', '601', 'a.m.', 'opening', 'plant', 'saturdays']",1006
"['1200', '601', 'a.m.', 'noon', 'saturdays', 'truck']",2774
"['601', 'a.m.', 'additional', 'charge', 'saturdays']",422
"['12', '1201', 'opening', 'p.m.', 'plant', 'saturdays']",1006
"['1200', '1201', 'midn', 'p.m.', 'saturdays', 'truck']",2774
"['1201', 'additional', 'charge', 'p.m.', 'saturdays']",602
"['1201', '600', 'a.m.', 'opening', 'plant', 'sundays']",1006
"['1201', '600', 'a.m.', 'a.m.', 'c', 'sundays', 'truck']",3916
"['1201', 'a.m.', 'additional', 'charge', 'sundays']",5532
"['1200', '601', 'a.m.', 'opening', 'plant', 'sundays']",1006
"['1200', '601', 'a.m.', 'c', 'noon', 'sundays', 'truck']",3916
"['1', '601', 'a.m.', 'additional', 'charge', 'sundays']",3066
"['120', '1201', 'opening', 'p.m.', 'plant', 'sundays']",1006
"['1200', '1201', 'midnig', 'p.m.', 'sundays', 'truck']",2774
"['1201', 'additional', 'charge', 'p.m.', 'sundays']",3378
"['1201', '400', 'a.m.', 'mondays', 'opening', 'plant']",1006
"['1201', '400', 'a.m.', 'a.m.', 'c', 'mondays', 'truck']",3916
"['1201', 'a.m.', 'additional', 'charge', 'mondays']",602
"['1201', '60', 'a.m.', 'holidays', 'opening', 'plant']",2260
"['1201', '600', 'a.m.', 'a.m.', 'holidays', 'truck']",1283
"['1201', 'a.m.', 'additional', 'charge', 'holidays']",602
"['120', '601', 'a.m.', 'holidays', 'opening', 'plant']",2260
"['1200', '601', 'a.m.', 'holidays', 'noon', 'truck']",1283
"['601', 'a.m.', 'additional', 'charge', 'holidays']",5532
"['12', '1201', 'holidays', 'opening', 'p.m.', 'plant']",4348
"['1200', '1201', 'holidays', 'midni', 'p.m.', 'truck']",1283
"['1201', 'additional', 'charge', 'holidays', 'p.m.']",5540
"['certification', 'concrete', 'mix', 'special', 'testing']",7435
"['additional', 'charge', 'environmental', 'fee', 'truck']",5119
"['additional', 'charge', 'fuel', 'surcharge', 'truck']",3699
"['dirt', 'dumping', 'dumping', 'loads', 'mix', 'privileges']",8025
"['208y', '34400volt', '750kva', 'delta', 'primary', 'taps']",804
"['34400volt', '480y', '750kva', 'delta', 'primary', 'taps']",804
"['1000kva', '20', '34400volt', 'delta', 'primary', 'taps']",4118
"['1000kva', '34400volt', '48', 'delta', 'primary', 'taps']",8110
"['1500kva', '20', '34400volt', 'delta', 'primary', 'taps']",4118
"['1500kva', '34400volt', '48', 'delta', 'primary', 'taps']",8110
"['2000kva', '34400volt', '48', 'delta', 'primary', 'taps']",8110
"['2500kva', '34400volt', '48', 'delta', 'primary', 'taps']",8110
"['2', '2500kva', '34400volt', 'delta', 'primary', 'taps']",4118
